Date,close,high,low,open,volume,symbol,country,region,industry,sector,currency
1996-01-01,34.52401351928711,34.9541325401176,34.52401351928711,34.744659115543435,11000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-02,34.89268112182617,35.02395145465898,34.53518020824871,34.52400803834023,203500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-03,34.68600845336914,34.828448854589276,34.52122157685362,34.89268831208237,58000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-04,34.68880844116211,34.8005280599087,34.57709095329,34.63294969722606,111500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-05,34.63294219970703,34.85638138882895,34.353644278741655,34.688800931550496,39500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-08,34.64691162109375,34.71673610873733,34.36761367051943,34.63294587121533,107500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-09,34.77817153930664,34.91223546106156,34.52121799772293,34.646903323907,114500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-10,35.02675247192383,35.07981762667188,34.63573496554214,34.77817536767395,113500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-11,34.85638427734375,35.07982135410765,34.63573864579153,35.02675619372111,67500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-12,34.875919342041016,35.079805556133245,34.85636857999281,34.85636857999281,57000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-15,34.85638427734375,34.9681017502886,34.85638427734375,34.87593504819652,18500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-16,34.98765563964844,35.023965739378674,34.80052651182506,34.856387384150665,62000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-17,35.14964294433594,35.24739679054634,34.856381405704724,34.98764963868782,139500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-18,35.1915397644043,35.24739849898227,34.8563830951882,35.14964464803375,105500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-19,35.57139587402344,35.98475574889671,35.05469496499445,35.1915503976738,345000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-22,35.50434875488281,35.58255182360769,35.26135882202439,35.571379652236445,65500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-23,35.55462646484375,35.80599289094769,35.470836235559744,35.50435275344815,109500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-24,35.3814582824707,35.47083352580471,35.079816037140745,35.55462374868765,82500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-25,35.35912322998047,35.4708428462222,34.40950968823743,35.381467579403704,136500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-26,35.35912322998047,35.35912322998047,35.35912322998047,35.35912322998047,0,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-29,35.68031311035156,35.833927835192014,34.91224374789781,35.35912004169605,169000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-30,35.9400520324707,36.02942940687087,35.6104825533026,35.68030702889731,46000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-01-31,35.91492462158203,35.973579069932335,35.750139843560326,35.94006041583983,84000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-01,36.1942253112793,36.197021018684055,35.80600127768724,35.91492732274546,214000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-02,36.84776306152344,39.045840024495554,36.197002825658316,36.194207119658714,95500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-05,37.973350524902344,38.794482904361516,37.034909258057716,36.84777588433486,216000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-06,37.37843704223633,37.984512950701784,36.30872561464142,37.973342910296985,142000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-07,37.46222686767578,37.53763422854774,34.912235801010745,37.378436649403845,98500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-08,38.31967544555664,38.710695107686256,37.48178164895519,37.46223300981024,163000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-09,38.121368408203125,38.43138921923358,37.5655641039601,38.31966751243362,113000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-12,39.017921447753906,39.26929215133186,37.705221979341324,38.12137744504643,227500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-13,39.62678527832031,39.93959754568817,37.923066475518524,39.01791367305356,219000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-14,39.436859130859375,40.498191909102566,39.15756125562418,39.62678390212793,96000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-15,39.88932800292969,40.10718002333062,39.17432180122526,39.436862508310426,148500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-16,39.38101577758789,39.71617250632394,39.26929828859222,39.889340154540974,177500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-19,39.70777893066406,39.9395966815541,38.87826388941507,39.381000923770124,166500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-20,39.38658142089844,39.73849515462302,39.21900101717433,39.707772222665156,139000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-21,39.38658142089844,39.38658142089844,39.38658142089844,39.38658142089844,0,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-22,40.06529235839844,40.21890709200237,39.227398460648395,39.3866003468603,118500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-23,40.18538284301758,40.274755954079765,39.799950380833394,40.065282531022746,182000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-26,39.894927978515625,40.21891470311057,39.82789918153016,40.185400304617836,72500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-27,39.88654708862305,40.10719489736285,39.54859889189401,39.89492568776513,123000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-28,39.93680953979492,40.15186586125383,39.716161805119064,39.88653370006898,54000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-02-29,39.618412017822266,39.77202246582399,39.436865811118636,39.93681147905456,67500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-01,39.65471267700195,39.660299828013514,38.83078476531878,39.61840684979561,80000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-04,39.47597122192383,39.660308891704915,39.07378149212819,39.6547217394165,91000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-05,39.47597122192383,39.47597122192383,39.47597122192383,39.47597122192383,0,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-06,39.28046417236328,39.93960751582161,39.18550389059987,39.47597188827284,51000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-07,38.205169677734375,39.26929858559952,37.984526143686956,39.28046862988396,129000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-08,37.453861236572266,37.984525699736636,36.867333767391436,38.20516923120525,130500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-11,37.557186126708984,37.70521366162595,36.65784661546967,37.45384727524741,121000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-12,38.17163848876953,38.54310515859171,37.34212349332963,37.55718404148924,205500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-13,38.629695892333984,38.65483168313368,37.565571464331875,38.17164745907526,70500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-14,39.08494567871094,39.20504172045705,38.57662149576882,38.62968877439986,116000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-15,39.11567306518555,39.576512911012486,38.89502533017303,39.08495012468056,293000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-18,39.88375473022461,39.99547222406239,39.04586074119362,39.11568524027954,159500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-19,39.78599166870117,39.93960639178851,39.548590970973876,39.88374765477906,417500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-20,39.78599166870117,39.78599166870117,39.78599166870117,39.78599166870117,0,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-21,39.66868209838867,39.77202096206404,39.56254752807477,39.785986710012914,117500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-22,39.44804000854492,39.716163626889134,39.383798418073475,39.66868349159377,23500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-25,39.63516616821289,39.85860534144409,39.26928659964883,39.44803708588424,125500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-26,39.87257766723633,39.93961071595426,39.43687350494211,39.635176943806236,176500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-27,39.47319030761719,39.939617497046875,39.10451486969693,39.87258443694783,89000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-28,39.49552536010742,39.548592654136876,39.386599326691204,39.47318101200299,16500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-03-29,39.44245147705078,39.49272305557621,39.381005595465545,39.49551876221512,39500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-01,39.39496994018555,39.43686292079786,39.21342374678741,39.44245007212876,38500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-02,39.89213180541992,40.163051192464934,39.38101598022415,39.394981731857726,133500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-03,40.40044403076172,40.44234127747756,39.66030621801218,39.89212401224556,187500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-04,40.07646179199219,40.16304346902185,39.88374553705612,40.400444154143784,58000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-05,40.07646179199219,40.07646179199219,40.07646179199219,40.07646179199219,0,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-08,40.31944274902344,40.49819322451,39.93959745589607,40.07645495343558,234000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-09,40.015018463134766,40.498202723023326,39.939606823395415,40.31945220561233,55500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-10,40.57362365722656,40.60992950103021,39.66031795882847,40.01502762963742,150000,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-11,39.8250846862793,40.40881624731581,39.548582505655446,40.57360523958126,166500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
1996-04-12,39.62957763671875,39.77201802709082,39.60444184931443,39.82508530833167,41500,HINDUNILVR.NS,india,ASIA,household-personal-products,consumer-defensive,INR
