Date,close,high,low,open,volume,symbol,country,region,industry,sector,currency
2000-01-26,45.302982330322266,47.457059575932654,45.03372139068966,46.312707002150624,1088180,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-01-27,44.59617614746094,45.97613535046507,44.461548236023,45.33663993182082,1709590,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-01-28,45.235660552978516,46.34635865306983,44.899085682388716,45.57223542356831,733880,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-01-31,44.62983322143555,45.94247326029675,44.528859725586535,45.10103602109718,815790,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-01,45.77418518066406,46.312707060609036,44.629832605437564,44.83177445862298,881690,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-02,46.64928436279297,46.985859271223724,45.67321404690846,46.985859271223724,871770,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-03,46.851226806640625,47.38974872108932,46.312710027917525,47.05317380849028,997790,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-04,48.06288528442383,48.06288528442383,45.976122429249834,47.0531608252373,905460,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-07,47.86094284057617,48.971640877309575,47.86094284057618,48.60140648649022,758040,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-08,46.11076736450195,48.26484495351673,46.11076736450195,47.99558910668444,977700,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-09,44.46154022216797,46.44732980444494,44.46154022216797,46.44732980444494,1036160,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-10,45.43759536743164,45.43759536743164,44.19226970672823,44.764445806432654,796990,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-11,45.43759536743164,45.43759536743164,43.014257974980005,45.43759536743164,1154710,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-14,45.43759536743164,45.63954229002077,44.09129624543367,45.43759536743164,597250,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-15,44.427886962890625,45.40395212217911,43.754737160422586,45.03372281225695,812040,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-16,45.16835021972656,45.30298326016885,43.88936458201433,45.067376723326184,1034470,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-17,45.10103225708008,45.50492107104327,44.56251041464587,45.168346203453126,654010,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-18,44.62983322143555,45.16834997308808,43.889364342359656,44.59617367757743,679880,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-21,44.495201110839844,44.89908996694424,44.023998301338956,44.629834153358274,479290,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-22,44.6971435546875,45.6058946723043,43.822046842478784,44.73079796009558,814690,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-23,44.89908218383789,45.37029004738191,44.596166878200314,45.26931656692786,660270,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-24,45.067378997802734,45.70687441679581,44.12497334577188,44.89909154055071,907990,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-25,46.91853713989258,47.52437296294528,44.52885852635856,45.639556679334326,2189170,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-28,46.64928436279297,47.726323042626284,45.43761263815204,46.71659831733402,1357740,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-02-29,46.44733810424805,47.4234032999746,46.31271019301873,47.053173976231186,1229400,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-01,47.05316162109375,47.12047555903323,45.13468614333511,46.81756027044344,697740,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-02,45.13469696044922,46.78391194598138,45.03372346147826,46.78391194598138,671670,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-03,43.58644104003906,45.47126216633051,43.35083968318373,45.43760262861215,1157590,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-06,43.8220329284668,44.59615590720828,42.71133775602312,44.225921615198736,661340,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-07,42.1391716003418,44.29325379372489,41.80259673909989,44.29325379372489,842860,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-08,40.86018371582031,42.00453861891203,40.62457980079026,42.00453861891203,1564940,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-09,42.071861267089844,42.071861267089844,41.062136596679686,41.600655907325915,762550,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-10,41.73527145385742,42.946940111526104,40.75920410789648,42.74499576322494,764060,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-13,41.73527145385742,41.73527145385742,41.73527145385742,41.73527145385742,0,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-14,44.360565185546875,44.360565185546875,41.735280391819764,41.93722478336902,1287460,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-15,45.605892181396484,46.1107544564673,43.28352777036062,44.36056626336675,1134170,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-16,45.43759536743164,47.12046926992911,45.43759536743164,46.447319708930124,1511960,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-17,44.427886962890625,46.44733637029474,43.754737160422586,45.7741865678267,1314620,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
2000-03-20,43.14890670776367,44.62983953985141,43.14890670776367,43.754742632902925,1233260,OR.PA,france,EU,household-personal-products,consumer-defensive,EUR
