date,close,high,low,open,volume,symbol,currency,industry,sector,country,region
2008-03-19T00:00:00.000000000,12.556119918823242,15.334022555731039,12.222771602394307,13.222816551681113,708486000,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-20T00:00:00.000000000,14.300642967224121,14.445094248811694,12.778352604718037,12.97836194110873,198985200,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-24T00:00:00.000000000,13.273929595947266,15.04511970574118,13.11170018689015,14.942893094184411,149566400,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-25T00:00:00.000000000,14.056192398071289,14.278424688949885,13.293935572537785,13.462832588344911,87092000,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-26T00:00:00.000000000,14.21397590637207,14.329537637231516,13.682840912204224,13.940630313682089,43111600,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-27T00:00:00.000000000,13.980630874633789,14.387315453080147,13.922850862390957,14.233976352848929,39829600,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-28T00:00:00.000000000,13.947294235229492,14.098412217861407,13.813955237730118,14.08285602974477,24675200,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-03-31T00:00:00.000000000,13.858399391174316,14.107299204577641,13.78950710764592,13.91173464160077,22157200,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-01T00:00:00.000000000,13.691727638244629,14.15174828021847,13.402825912754817,14.01396453687693,60410800,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-02T00:00:00.000000000,13.849505424499512,13.849505424499512,13.445043040521854,13.716166493775454,43836400,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-03T00:00:00.000000000,14.556208610534668,14.731772246090843,13.738394074214517,13.76728449661265,100868000,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-04T00:00:00.000000000,14.329536437988281,14.51621071691085,14.167306147069587,14.422873577449565,36394400,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-07T00:00:00.000000000,14.453984260559082,14.62288122797047,14.227306439336393,14.467317651631944,28301600,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-08T00:00:00.000000000,15.131791114807129,15.165126287058252,14.402869701170285,14.422871482719877,53925600,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-09T00:00:00.000000000,14.620661735534668,15.271802376222483,14.580659857777482,15.20957760982191,48324400,V,USD,credit-services,financial-services,united_states,US_AMERICA
2008-04-10T00:00:00.000000000,14.691778182983398,14.829562825874438,14.469545872480547,14.702890476707731,22372000,V,USD,credit-services,financial-services,united_states,US_AMERICA
