Date,close,high,low,open,volume,symbol,year,month,weekday,date,growth_adj_1d,growth_adj_3d,growth_adj_7d,growth_adj_30d,growth_adj_90d,growth_adj_365d,SMA10,SMA20,is_growing_moving_average,high_minus_low_relative,30d_volatility,is_positive_growth_7d
2002-07-01,14.535552024841309,14.827933947990593,13.992557150987206,14.222284731507788,847376.0,BHARTIARTL.NS,2002,7,0,2002-07-01,,,,,,,,,0,0.0574712811440339,,0
2002-07-02,14.82793426513672,14.86970323847456,13.99255745026594,13.99255745026594,676474.0,BHARTIARTL.NS,2002,7,1,2002-07-02,1.0201149732597516,,,,,,,,0,0.059154955270536665,,0
2002-07-03,14.681742668151855,15.036777168997572,14.59820472255898,15.036777168997572,574661.0,BHARTIARTL.NS,2002,7,2,2002-07-03,0.9901407981468741,1.0100574538249876,,,,,,,0,0.02987196113918807,,0
2002-07-04,15.036779403686523,15.14120185119635,14.723513829081323,14.932358724100975,1148300.0,BHARTIARTL.NS,2002,7,3,2002-07-04,1.0241821930515664,1.014084574075894,,,,,,,0,0.027777758182222383,,0
2002-07-05,14.28493881225586,14.807049190316064,14.201400868898393,14.63997330360113,903273.0,BHARTIARTL.NS,2002,7,4,2002-07-05,0.949999892181278,0.972972972972973,,,,,,,0,0.042397683978740705,,0
2002-07-08,14.20140266418457,14.493784618935514,14.096981105749151,14.30582422261999,572054.0,BHARTIARTL.NS,2002,7,0,2002-07-08,0.9941521521954565,0.9444444373974692,0.9770115809784399,,,,,,0,0.027941149375835053,,0
2002-07-09,14.013442039489746,14.34759206071386,13.971673065846224,14.326708457854124,657548.0,BHARTIARTL.NS,2002,7,1,2002-07-09,0.9867646436665827,0.9809941942115159,0.9450704183682551,,,,,,0,0.02682560029208382,,0
2002-07-10,13.971673011779783,14.389360978674604,13.9299040382979,14.28493942893191,840243.0,BHARTIARTL.NS,2002,7,2,2002-07-10,0.9970193598694554,0.9838234533702677,0.951635873722785,,,,,,0,0.03288489073494112,,0
2002-07-11,13.61663818359375,14.201402068570337,13.574869208386556,14.201402068570337,1105675.0,BHARTIARTL.NS,2002,7,3,2002-07-11,0.9745889538148583,0.9716840548683324,0.9055554928374755,,,,,,0,0.046012301401873956,,0
2002-07-12,13.407793998718262,13.867250037212852,13.345139656977109,13.867250037212852,1212941.0,BHARTIARTL.NS,2002,7,4,2002-07-12,0.9846625736793743,0.9596412675428272,0.9385965298790748,,,,14.257789707183838,,0,0.038940811611936674,,0
2002-07-15,13.282487869262695,13.512216344087095,13.219834407775483,13.36602581791231,613201.0,BHARTIARTL.NS,2002,7,0,2002-07-15,0.9906542321975155,0.97546014590197,0.9352940820951902,,,,14.132483291625977,,0,0.02201258824321757,,0
2002-07-16,13.261603355407717,13.366025791009555,12.927452445443864,12.927452445443864,490166.0,BHARTIARTL.NS,2002,7,1,2002-07-16,0.9984276655050965,0.9890965923757092,0.9463487498672093,,,,13.975850200653076,,0,0.03307091411287409,,0
2002-07-17,13.05275821685791,13.345140146592469,12.969221154049478,13.1989496237062,490399.0,BHARTIARTL.NS,2002,7,2,2002-07-17,0.9842518937602937,0.9827043205560603,0.9342301530999817,,,,13.812951755523681,,0,0.028799965976346913,,0
2002-07-18,13.198949813842772,13.470447260795757,13.157180839855847,13.407794683777402,246819.0,BHARTIARTL.NS,2002,7,3,2002-07-18,1.0112000540082058,0.9952755681280879,0.9693251473587484,,,,13.629168796539307,,0,0.02373419289854123,,0
2002-07-19,13.198949813842772,13.34514033883498,13.157180839855847,13.32425673580355,273717.0,BHARTIARTL.NS,2002,7,4,2002-07-19,1.0,1.0112000540082058,0.9844236729102898,,,,13.520569896697998,,0,0.014240488950265199,,0
2002-07-22,13.136295318603516,13.324255686746012,12.94833583442298,13.282486716047678,430722.0,BHARTIARTL.NS,2002,7,0,2002-07-22,0.9952530696666833,0.9952530696666833,0.9889935867363006,,,,13.414059162139893,,0,0.0286168849896863,,0
2002-07-23,12.990106582641602,13.157181604334925,12.760377212365416,13.157181604334925,485732.0,BHARTIARTL.NS,2002,7,1,2002-07-23,0.9888713878291939,0.9841772842425585,0.979527605713271,,,,13.311725616455078,,0,0.03054666175716756,,0
2002-07-24,12.864798545837402,13.03187443710883,12.73949251134584,13.03187443710883,250128.0,BHARTIARTL.NS,2002,7,2,2002-07-24,0.9903535790097638,0.9793323181169944,0.9856000036239272,,,,13.20103816986084,,0,0.02272728365867752,,0
2002-07-25,13.031875610351562,13.36602653901558,13.010990238100344,13.157181656124264,393443.0,BHARTIARTL.NS,2002,7,3,2002-07-25,1.0129871496952605,1.0032154491916006,0.9873418562955679,,,,13.142561912536621,,0,0.02724368398921958,,0
2002-07-26,12.739493370056152,12.948337364260636,12.593302839301636,12.781262345689465,437573.0,BHARTIARTL.NS,2002,7,4,2002-07-26,0.9775640706650727,0.9902598415875082,0.9651899241783046,,,,13.07573184967041,13.666760778427124,0,0.027868810371494048,,0
2002-07-29,12.739493370056152,13.157181358465117,12.635071814934944,13.157181358465117,491284.0,BHARTIARTL.NS,2002,7,0,2002-07-29,1.0,0.9775640706650727,0.9697934662000621,,,,13.021432399749756,13.576957845687867,0,0.04098354058234194,,0
2002-07-30,12.718607902526855,13.157181259412797,12.67684069513212,13.157181259412797,467602.0,BHARTIARTL.NS,2002,7,1,2002-07-30,0.9983605731466223,0.9983605731466223,0.9790995802545959,,,,12.96713285446167,13.471491527557372,0,0.03776675623322315,,0
