Date,close,high,low,open,volume,symbol,year,month,weekday,date,growth_adj_1d,growth_adj_3d,growth_adj_7d,growth_adj_30d,growth_adj_90d,growth_adj_365d,SMA10,SMA20,is_growing_moving_average,high_minus_low_relative,30d_volatility,is_positive_growth_7d
1996-01-01,3.84293794631958,3.849475106515543,3.803714985143807,3.828929924080236,104121369.0,RELIANCE.NS,1996,1,0,1996-01-01,,,,,,,,,0,0.01190758789523551,,0
1996-01-02,3.813054084777832,3.852277550871162,3.7850377865521616,3.833600018720715,168743308.0,RELIANCE.NS,1996,1,1,1996-01-02,0.9922236939656108,,,,,,,,0,0.017634096664778384,,0
1996-01-03,3.842005252838135,4.052129383369182,3.833600437288615,3.875624764489084,209323879.0,RELIANCE.NS,1996,1,2,1996-01-03,1.007592645532063,0.9997572967624059,,,,,,,0,0.05687887748699366,,0
1996-01-04,3.806515455245972,3.8177221198850617,3.755151887466078,3.805581753615608,216900264.0,RELIANCE.NS,1996,1,3,1996-01-04,0.9907626889458451,0.9982851988494045,,,,,,,0,0.016437666720294564,,0
1996-01-05,3.780367612838745,3.791574279826553,3.74768181260697,3.791574279826553,166708467.0,RELIANCE.NS,1996,1,4,1996-01-05,0.99313076678273,0.9839569089725065,,,,,,,0,0.011610634656406599,,0
1996-01-08,3.629078149795532,3.7756982797619,3.591722840902155,3.772896924701949,186974245.0,RELIANCE.NS,1996,1,0,1996-01-08,0.9599802245344051,0.9533858964881112,0.9443499219838135,,,,,,0,0.0506948131910884,,0
1996-01-09,3.524484157562256,3.5861204734054577,3.4040131312409287,3.521682801650067,388766555.0,RELIANCE.NS,1996,1,1,1996-01-09,0.9711789088258767,0.9323125469577437,0.9243205260666032,,,,,,0,0.05166921853621986,,0
1996-01-10,3.433896064758301,3.538491129871598,3.4180203889049925,3.4553756980303665,276606655.0,RELIANCE.NS,1996,1,2,1996-01-10,0.9742974890071258,0.9462171722457319,0.8937770353701731,,,,,,0,0.03508281517398954,,0
1996-01-11,3.5412933826446533,3.5581035094401305,3.394673245584684,3.3993427529670748,409645726.0,RELIANCE.NS,1996,1,3,1996-01-11,1.0312756460478112,1.004769272418584,0.9303241834376893,,,,,,0,0.04614987977454608,,0
1996-01-12,3.5039379596710205,3.594524753598193,3.4805906729599827,3.567441910991501,374687924.0,RELIANCE.NS,1996,1,4,1996-01-12,0.989451474662702,1.0203972087657376,0.9268775734325613,,,,3.6717570066452025,,0,0.03251600968668618,,0
1996-01-15,3.4675161838531494,3.5114086516819727,3.4479047034418717,3.49366482440152,199981539.0,RELIANCE.NS,1996,1,0,1996-01-15,0.9896054735451736,0.9791665951335535,0.9554812656896118,,,,3.6342148303985597,,0,0.018313958716563092,,0
1996-01-16,3.474052906036377,3.492730432801273,3.4441684640881105,3.4553751298187105,217247573.0,RELIANCE.NS,1996,1,1,1996-01-16,1.0018851309804022,0.9914710094817292,0.9856911680486145,,,,3.600314712524414,,0,0.01397847701996221,,0
1996-01-17,3.335838556289673,3.460045616226807,3.3068885562215,3.4553761084866506,299629901.0,RELIANCE.NS,1996,1,2,1996-01-17,0.9602152432662875,0.9620253747692232,0.971444240996406,,,,3.5496980428695677,,0,0.04591261160302013,,0
1996-01-18,3.2433836460113525,3.304086245010901,3.20883018893381,3.250855257051056,377502810.0,RELIANCE.NS,1996,1,3,1996-01-18,0.9722843570759748,0.9336022604537131,0.9158754431097655,,,,3.493384861946106,,0,0.029369345866387217,,0
1996-01-19,3.1864166259765625,3.238714407196536,3.164937491934369,3.198557244694401,324535340.0,RELIANCE.NS,1996,1,4,1996-01-19,0.9824359291862229,0.9552070857771646,0.9093815765721293,,,,3.4339897632598877,,0,0.02315356838798696,,0
1996-01-22,3.2405827045440674,3.282607528574338,3.1938881230177336,3.196690226968229,338613971.0,RELIANCE.NS,1996,1,0,1996-01-22,1.0169990572249492,0.9991364137663056,0.9345544570589688,,,,3.395140218734741,,0,0.027377608796158425,,0
1996-01-23,3.103300094604492,3.265795841242127,2.9323990385791223,3.2517875743189144,354919302.0,RELIANCE.NS,1996,1,1,1996-01-23,0.9576364430548023,0.9739153597509876,0.8932794573198124,,,,3.353021812438965,,0,0.10743298827034486,,0
1996-01-24,2.996838092803955,3.094896257362373,2.951077965244,3.076218476096079,351185727.0,RELIANCE.NS,1996,1,2,1996-01-24,0.9656939391760289,0.9247837089921129,0.8983762380087197,,,,3.3093160152435304,,0,0.04799001069284034,,0
1996-01-25,2.8707642555236816,3.003375646777298,2.8530204233627123,2.990301322906964,360855771.0,RELIANCE.NS,1996,1,3,1996-01-25,0.9579310481994328,0.9250682073947326,0.8851139947795227,,,,3.242263102531433,,0,0.05237463268719643,,0
1996-01-26,2.8707642555236816,2.870764255523682,2.870764255523682,2.870764255523682,0.0,RELIANCE.NS,1996,1,4,1996-01-26,1.0,0.9579310481994328,0.9009381359990423,,,,3.1789457321166994,3.4253513693809508,0,0.0,,0
1996-01-29,3.0967633724212646,3.1238464645469333,2.839945463047784,2.8576887923266514,652902286.0,RELIANCE.NS,1996,1,0,1996-01-29,1.0787243732963216,1.0787243732963216,0.955619298985601,,,,3.141870450973511,3.3880426406860353,0,0.0916766854153199,,0
