DATE,CPILFESL,cpi_core_yoy,cpi_core_mom
1957-01-01,28.5,,
1957-02-01,28.6,,0.0035087719298245723
1957-03-01,28.7,,0.0034965034965033226
1957-04-01,28.8,,0.0034843205574912606
1957-05-01,28.8,,0.0
1957-06-01,28.9,,0.003472222222222099
1957-07-01,29.0,,0.0034602076124568004
1957-08-01,29.0,,0.0
1957-09-01,29.1,,0.0034482758620690834
1957-10-01,29.2,,0.0034364261168384758
1957-11-01,29.3,,0.0034246575342467
1957-12-01,29.3,,0.0
1958-01-01,29.3,0.02807017543859658,0.0
1958-02-01,29.4,0.027972027972027913,0.0034129692832762792
1958-03-01,29.5,0.027874564459930307,0.003401360544217802
1958-04-01,29.5,0.02430555555555558,0.0
1958-05-01,29.5,0.02430555555555558,0.0
1958-06-01,29.6,0.02422145328719738,0.003389830508474523
1958-07-01,29.6,0.020689655172413834,0.0
1958-08-01,29.6,0.020689655172413834,0.0
1958-09-01,29.7,0.020618556701030855,0.0033783783783782884
1958-10-01,29.7,0.017123287671232834,0.0
1958-11-01,29.8,0.017064846416382284,0.0033670033670034627
1958-12-01,29.9,0.020477815699658564,0.003355704697986406
1959-01-01,29.9,0.020477815699658564,0.0
1959-02-01,29.9,0.017006802721088343,0.0
1959-03-01,30.0,0.016949152542372836,0.0033444816053511683
1959-04-01,30.0,0.016949152542372836,0.0
1959-05-01,30.1,0.02033898305084758,0.0033333333333334103
1959-06-01,30.2,0.020270270270270174,0.0033222591362125353
1959-07-01,30.2,0.020270270270270174,0.0
1959-08-01,30.2,0.020270270270270174,0.0
1959-09-01,30.3,0.020202020202020332,0.0033112582781458233
1959-10-01,30.4,0.023569023569023573,0.0033003300330032292
1959-11-01,30.4,0.020134228187919323,0.0
1959-12-01,30.5,0.02006688963210701,0.00328947368421062
1960-01-01,30.5,0.02006688963210701,0.0
1960-02-01,30.6,0.0234113712374584,0.003278688524590123
1960-03-01,30.6,0.020000000000000018,0.0
1960-04-01,30.6,0.020000000000000018,0.0
1960-05-01,30.6,0.01661129568106312,0.0
1960-06-01,30.7,0.01655629139072845,0.0032679738562091387
1960-07-01,30.6,0.013245033112582849,-0.0032573289902279035
1960-08-01,30.6,0.013245033112582849,0.0
1960-09-01,30.6,0.00990099009900991,0.0
1960-10-01,30.8,0.013157894736842257,0.006535947712418277
1960-11-01,30.8,0.013157894736842257,0.0
1960-12-01,30.7,0.006557377049180246,-0.0032467532467532756
1961-01-01,30.8,0.009836065573770592,0.0032573289902280145
1961-02-01,30.8,0.006535947712418277,0.0
1961-03-01,30.9,0.009803921568627416,0.0032467532467532756
1961-04-01,30.9,0.009803921568627416,0.0
1961-05-01,30.9,0.009803921568627416,0.0
1961-06-01,31.0,0.009771986970684043,0.003236245954692629
1961-07-01,31.0,0.013071895424836555,0.0
1961-08-01,31.1,0.016339869281045694,0.003225806451612856
1961-09-01,31.1,0.016339869281045694,0.0
1961-10-01,31.1,0.009740259740259827,0.0
1961-11-01,31.2,0.01298701298701288,0.003215434083601254
1961-12-01,31.2,0.016286644951140072,0.0
1962-01-01,31.2,0.01298701298701288,0.0
1962-02-01,31.2,0.01298701298701288,0.0
1962-03-01,31.3,0.012944983818770295,0.0032051282051281937
1962-04-01,31.3,0.012944983818770295,0.0
1962-05-01,31.4,0.016181229773462702,0.0031948881789136685
1962-06-01,31.4,0.012903225806451646,0.0
1962-07-01,31.4,0.012903225806451646,0.0
1962-08-01,31.5,0.012861736334405016,0.0031847133757962887
1962-09-01,31.5,0.012861736334405016,0.0
1962-10-01,31.5,0.012861736334405016,0.0
1962-11-01,31.5,0.009615384615384581,0.0
