DATE,GDPPOT
1955-01-01T00:00:00.000000000,2959.7761996380686
1955-04-01T00:00:00.000000000,2979.062096651661
1955-07-01T00:00:00.000000000,2998.0263117529767
1955-10-01T00:00:00.000000000,3017.709772089412
1956-01-01T00:00:00.000000000,3037.4598942797747
1956-04-01T00:00:00.000000000,3056.686363127972
1956-07-01T00:00:00.000000000,3076.747558063285
1956-10-01T00:00:00.000000000,3098.079553748381
1957-01-01T00:00:00.000000000,3121.45876878156
1957-04-01T00:00:00.000000000,3146.9588594571783
1957-07-01T00:00:00.000000000,3173.926339071424
1957-10-01T00:00:00.000000000,3202.0484646123937
1958-01-01T00:00:00.000000000,3230.017116009108
1958-04-01T00:00:00.000000000,3258.4537581152504
1958-07-01T00:00:00.000000000,3287.0858028236366
1958-10-01T00:00:00.000000000,3317.432391075252
1959-01-01T00:00:00.000000000,3348.864175658736
1959-04-01T00:00:00.000000000,3382.3844990501893
1959-07-01T00:00:00.000000000,3418.3200692733526
1959-10-01T00:00:00.000000000,3454.772478769152
1960-01-01T00:00:00.000000000,3491.809423344376
1960-04-01T00:00:00.000000000,3527.8518161158336
1960-07-01T00:00:00.000000000,3563.3197684868646
1960-10-01T00:00:00.000000000,3597.5104219553687
1961-01-01T00:00:00.000000000,3631.0973455617295
1961-04-01T00:00:00.000000000,3662.7634373329215
1961-07-01T00:00:00.000000000,3695.587694750991
1961-10-01T00:00:00.000000000,3729.378782068824
1962-01-01T00:00:00.000000000,3765.797811774551
1962-04-01T00:00:00.000000000,3805.3125821851854
1962-07-01T00:00:00.000000000,3847.2533059977486
1962-10-01T00:00:00.000000000,3890.376304042204
1963-01-01T00:00:00.000000000,3933.55516118128
1963-04-01T00:00:00.000000000,3976.337932783699
1963-07-01T00:00:00.000000000,4018.959695297157
1963-10-01T00:00:00.000000000,4062.066558037231
1964-01-01T00:00:00.000000000,4105.435953036787
1964-04-01T00:00:00.000000000,4150.330841843084
1964-07-01T00:00:00.000000000,4196.177090748073
1964-10-01T00:00:00.000000000,4242.341352210441
1965-01-01T00:00:00.000000000,4289.638061974458
1965-04-01T00:00:00.000000000,4335.758721867548
1965-07-01T00:00:00.000000000,4383.183671483537
1965-10-01T00:00:00.000000000,4430.655646635879
1966-01-01T00:00:00.000000000,4478.534802720446
1966-04-01T00:00:00.000000000,4526.5819491025895
1966-07-01T00:00:00.000000000,4575.410171895527
